food_name,protein,carbs,fat,calories
clam chowder soup,4.4,24.5,4.4,154
tomato vegetable soup,1.9,9.9,0.8,54
cream of rice coup,2.2,28.1,0.2,127
cream of celery soup,3.3,17.7,11.2,181
chicken gravy,4.6,12.9,13.6,188
tomato rice soup,4.2,44.1,5.5,240
vegetable beef soup,18.1,9.6,2.0,128
tomato beef noodle soup,8.9,42.3,8.6,281
oyster stew soup,4.2,8.2,7.7,118
ramen noodle soup dry,8.9,53.9,13.3,371
chicken noodle soup,7.2,18.4,4.7,145
chicken bouillon dry,0.7,0.7,0.6,11
cream of asparagus soup,4.6,21.5,8.2,174
turkey noodle soup,7.8,17.3,4.0,139
cream of shrimp soup,5.6,16.5,10.4,181
bean with pork soup,15.3,44.1,11.5,335
chicken broth,1.0,1.0,0.5,12
beef broth powder,0.6,0.6,0.3,8
split pea soup,9.7,29.9,2.3,180
escarole soup,3.4,4.0,4.0,61
chicken stock,6.0,8.5,2.9,86
tomato bisque soup,4.5,47.7,5.0,248
shark fin soup,6.9,8.2,4.3,99
onion soup,7.5,16.4,3.5,113
chicken gumbo soup,5.3,16.8,2.9,113
crab soup,10.4,12.5,0.8,95
tripe soup,17.2,8.1,5.2,148
little india little lunch,0.0,2.0,10.6,164
original chicken sandwich chick fil a,0.0,0.0,5.1,125
sausage mcmuffin mcdonalds,14.6,28.2,24.2,383
sausage mcgriddles mcdonalds,11.4,42.2,24.0,421
crispy chicken drumstick kentucky fried chicken,10.6,0.0,3.0,70
chicken crispy drumsticks kentucky fried chicken,11.8,4.5,10.1,156
biscuit kentucky fried chicken,3.8,22.1,9.1,185
english muffin mcdonalds,5.7,2.9,2.3,97
french fries mcdonalds,4.0,49.8,18.1,378
hotdog,16.4,28.5,23.0,383
french fries burger king,2.4,28.6,9.2,207
original taco with beef cheese lettuce taco bell,6.1,13.7,8.8,158
hotdog with chili,13.5,31.3,13.4,296
chicken crispy wings kentucky fried chicken,9.2,5.1,10.1,148
egg white delight mcdonalds,0.0,0.0,16.0,250
french toast sticks burger king,1.3,8.7,3.7,73
mcchicken mcdonalds,13.7,36.6,17.3,358
nachos supreme taco bell,14.8,45.0,26.6,480
crispy chicken wing kentucky fried chicken,12.6,1.3,5.3,104
chicken strips burger king,6.6,7.4,5.5,105
crispy chicken breast kentucky fried chicken,38.2,0.4,6.7,214
sausage biscuit mcdonalds,11.3,31.8,29.7,440
sausage burrito mcdonalds,13.0,24.2,17.1,339
onion rings fried,0.3,2.8,1.6,27
onion rings burger king,3.5,39.7,23.0,379
turkey patty fried,3.9,4.4,5.0,79
hotcakes with syrup mcdonalds,9.0,101.8,17.8,601
crispy chicken thigh kentucky fried chicken,20.4,0.0,9.1,163
corn dog,6.7,21.0,9.4,195
chicken box mcdonalds,0.2,5.5,4.0,70
potato wedges kentucky fried chicken,5.4,45.0,19.8,379
scrambled eggs mcdonalds,7.7,0.9,7.5,98
egg mcmuffin mcdonalds,17.2,27.3,12.2,287
nachos taco bell,5.1,36.0,21.9,362
biscuit large mcdonalds,5.5,39.4,14.4,310
crispy chicken strips kentucky fried chicken,9.5,6.4,7.2,129
hotcakes mcdonalds,3.0,19.0,2.9,113
chicken crispy breast kentucky fried chicken,29.7,11.9,23.2,375
hotcakes sausage mcdonalds,15.5,102.4,34.9,776
chicken mcnuggets mcdonalds,2.5,2.4,3.2,48
chips chipotle,0.2,2.1,7.1,151
biscuit mcdonalds,4.7,33.3,12.2,261
rice bowl with chicken,1.6,6.4,0.4,36
spaghetti with meatballs,8.7,22.9,8.2,200
meat ravioli canned,8.9,36.0,8.9,259
cheese ravioli canned,6.0,33.0,3.5,186
premium crispy chicken ranch blt sandwich mcdonalds,35.3,59.8,22.9,586
steak sandwich,30.3,52.0,14.1,459
cheeseburger burger king,19.4,31.5,19.7,380
cheeseburger mcdonalds,15.4,33.1,14.0,313
double cheeseburger,37.0,41.0,36.9,643
double hamburger,52.1,51.4,58.6,942
premium grilled chicken classic sandwich mcdonalds,28.3,44.6,8.6,366
big n tasty with cheese mcdonalds,27.2,39.7,36.0,573
premium grilled chicken club sandwich mcdonalds,38.3,44.3,18.0,493
quarter pounder mcdonalds,24.1,37.9,19.8,417
premium crispy chicken classic sandwich mcdonalds,27.8,58.6,20.0,524
veggie burger,11.0,10.0,4.4,124
quarter pounder with cheese mcdonalds,29.0,39.7,28.3,513
beef sandwich steak raw,9.2,0.0,15.1,173
cheeseburger,15.0,28.7,13.2,292
premium grilled chicken ranch blt sandwich mcdonalds,33.7,44.3,10.9,412
double whopper with cheese burger king,57.7,53.9,68.1,1061
big mac mcdonalds,25.9,44.0,32.8,563
sandwich with cold cuts,41.1,79.9,39.3,833
filet o fish mcdonalds,15.1,35.4,19.6,378
hand breaded chicken tenders carls jr,0.0,0.2,2.9,57
grilled chicken sandwich wendys,0.0,0.0,8.0,370
sandwich with roast beef,28.6,44.3,13.0,410
hamburger burger king,14.7,26.5,10.4,258
big n tasty mcdonalds,24.7,38.5,31.7,524
roast beef sandwich,22.6,33.1,15.3,364
roast beef sandwich with cheese,32.2,45.4,18.0,473
hamburger,12.9,28.7,9.9,255
premium fish sandwich burger king,22.6,58.7,27.4,572
whopper burger king,35.4,52.8,48.4,790
sandwich with tuna salad,29.7,55.4,28.0,584
original chicken sandwich burger king,24.2,52.2,29.2,569
double whopper burger king,52.1,51.4,58.6,942
premium crispy chicken club sandwich mcdonalds,39.1,57.4,29.9,635
hamburger mcdonalds,12.3,28.8,9.6,251
pepperoni pizza dominos,12.7,36.0,12.6,308
sausage pizza,13.3,35.5,14.3,325
pepperoni pizza,13.0,35.5,13.2,313
pepperoni pizza pizza hut,12.3,30.3,10.9,269
cheese pizza pizza hut,11.5,30.0,10.5,260
